strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
Wuhan-Hu-1/2019,12/27/19,,,,China,Older,B,,Asia,19A,MN908947,,China,201952,Homo sapiens,Wu et al,,,,
Wuhan/WH01/2019,12/27/19,,-0.01,,China,Older,B,,Asia,19A,LR757998,,Hubei,201952,Homo sapiens,Hunter et al,,Beijing Genome Institute,"BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China",
Wuhan/WIV05/2019,12/31/19,,0.01,,China,Older,B,,Asia,19A,MN996529,,Hubei,202001,Homo sapiens,Zhou et al A,,,,
AUS/SA03/2020,1/31/20,,0,,Australia,Older,B.1,,Oceania,19A,MT745748,,South Australia,202005,Homo sapiens,Caly et al A,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/SA04/2020,1/31/20,,0,,Australia,Older,B.1,,Oceania,19A,MT745749,,South Australia,202005,Homo sapiens,Caly et al B,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/SA02/2020,1/31/20,,0,,Australia,Older,B.1,,Oceania,19A,MT745747,,South Australia,202005,Homo sapiens,Caly et al C,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/SA01/2020,1/31/20,,0,,Australia,Older,B.1,,Oceania,19A,MT745746,,South Australia,202005,Homo sapiens,Caly et al D,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
GBR/DMSOp13.5/2020,1/30/20,,0.01,1,United Kingdom,Older,A,,Europe,19B,OK041127,,United Kingdom,202005,Homo sapiens,Szemiel et al,,MRC-University of Glasgow Centre for Virus Research,MRC-University of Glasgow Centre for Virus Research,
CHN/Yunnan-01/2020,1/18/20,,-0.06,1,China,Older,A,,Asia,19B,MT049951,,Yunnan,202003,Homo sapiens,Fu et al,,,,
KHM/Kunming_kms-2/2020,3/22/20,,-0.06,,Cambodia,Older,A.6,,Asia,19B,MW341443,,Phnom Penh,202012,Homo sapiens,Li et al A,,,,
KOR/CNUHV03-CA22/2020,5/21/20,,-0.04,2,South Korea,Older,A,,Asia,19B,MT810119,,South Korea,202021,Homo sapiens,Seo et al,,,,
KOR/KCDC15-NCCP43331/2020,3/18/20,,-0.03,1,South Korea,Older,A,,Asia,19B,MW466796,,South Korea,202012,Homo sapiens,Kim et al A,,,,
KOR/KCDC03/2020,1/26/20,,-0.06,,South Korea,Older,A,,Asia,19B,MT020782,,South Korea,202004,Homo sapiens,Kim et al B,,,,
VEN/1Z/2020,3/17/20,,-0.07,1,Venezuela,Older,A.2,,South America,19B,MT907515,,Venezuela,202012,Homo sapiens,Loureiro et al A,,,,
CHL/2020-26639/2020,3/18/20,,-0.06,1,Chile,Older,A.2,,South America,19B,MT670018,,Chile,202012,Homo sapiens,Gaete et al A,,,,
CHL/Santiago-PUC_MVL_0016/2020,3/20/20,,-0.06,1,Chile,Older,A.2,,South America,19B,MW365195,,Chile,202012,Homo sapiens,Direct Submission et al A,,,,
PRY/202102905_58287/2021,3/18/21,,0.34,4,Paraguay,Older,A.2.5.2,,South America,19B,ON017476,,Paraguay,202111,Homo sapiens,Vazquez et al A,,,,
PRY/202102933_61961/2021,3/21/21,,0.34,4,Paraguay,Older,A.2.5.2,,South America,19B,ON017494,,Paraguay,202111,Homo sapiens,Vazquez et al B,,,,
PRY/202102904_58285/2021,3/18/21,,0.35,4,Paraguay,Older,A.2.5.2,,South America,19B,ON017475,,Paraguay,202111,Homo sapiens,Vazquez et al C,,,,
PRY/WOR12903A861_202103459_202103459_2-4754119/2021,7/10/21,,0.35,4,Paraguay,Older,A.2.5.2,,South America,19B,ON017310,,Paraguay,202127,Homo sapiens,Vazquez et al D,,,,
PRY/202102890_56300/2021,3/17/21,,0.34,4,Paraguay,Older,A.2.5.2,,South America,19B,ON017465,,Paraguay,202111,Homo sapiens,Vazquez et al E,,,,
GEO/MM2020390/2020,3/9/20,,-0.06,,Georgia,Older,A.2,,Asia,19B,MT231251,,Georgia (Asia),202011,Homo sapiens,Kotorashvili et al A,,,,
KAZ/NCB-5/2020,3/21/20,,-0.06,,Kazakhstan,Older,A.2,,Asia,19B,MT428554,,Kazakhstan,202012,Homo sapiens,Shevtsov et al,,,,
PER/covper070/2020,3/19/20,,-0.06,,Peru,Older,A.2,,South America,19B,MW030210,,Peru,202012,Homo sapiens,Juscamayta et al A,,,,
PER/covper068/2020,3/19/20,,-0.06,,Peru,Older,A.2,,South America,19B,MW030208,,Peru,202012,Homo sapiens,Juscamayta et al B,,,,
PER/covper069/2020,3/19/20,,-0.06,,Peru,Older,A.2,,South America,19B,MW030209,,Peru,202012,Homo sapiens,Juscamayta et al C,,,,
NZL/20CV0287/2020,3/27/20,,-0.06,,New Zealand,Older,A.2,,Oceania,19B,OK426972,,Taranaki,202013,Homo sapiens,Ren et al A,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
PER/covper092/2020,3/23/20,,-0.06,,Peru,Older,A.2,,South America,19B,MW030228,,Peru,202013,Homo sapiens,Juscamayta et al D,,,,
AUS/NT08/2020,3/21/20,,-0.01,,Australia,Older,A.2.2,,Oceania,19B,MT641654,,Northern Territory,202012,Homo sapiens,Caly et al E,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
AUS/TAS113/2020,3/24/20,,0.01,1,Australia,Older,A.2.2,,Oceania,19B,MT973442,,Tasmania,202013,Homo sapiens,Sait et al A,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS87/2020,3/22/20,,-0.01,,Australia,Older,A.2.2,,Oceania,19B,MT973418,,Tasmania,202012,Homo sapiens,Sait et al B,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
NZL/20CV0276/2020,3/25/20,,-0.01,,New Zealand,Older,A.2.2,,Oceania,19B,OK426760,,Hawkes Bay,202013,Homo sapiens,Ren et al B,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0274/2020,3/23/20,,-0.01,,New Zealand,Older,A.2.2,,Oceania,19B,OK426534,,Hawkes Bay,202013,Homo sapiens,Ren et al C,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
AUS/TAS259/2020,5/7/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973325,,Tasmania,202019,Homo sapiens,Sait et al C,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS110/2020,4/10/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973439,,Tasmania,202015,Homo sapiens,Sait et al D,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS50/2020,4/10/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973385,,Tasmania,202015,Homo sapiens,Sait et al E,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS158/2020,5/4/20,,0.03,1,Australia,Older,A.2.2,,Oceania,19B,MT973468,,Tasmania,202019,Homo sapiens,Sait et al F,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS148/2020,4/8/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973462,,Tasmania,202015,Homo sapiens,Sait et al G,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS235/2020,4/11/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973306,,Tasmania,202015,Homo sapiens,Sait et al H,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS166/2020,5/2/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973473,,Tasmania,202018,Homo sapiens,Sait et al I,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS260/2020,5/9/20,,0,,Australia,Older,A.2.2,,Oceania,19B,MT973326,,Tasmania,202019,Homo sapiens,Sait et al J,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
THA/SI202205-NT/2020,2/8/20,,-0.05,,Thailand,Older,A,,Asia,19B,MT447162,,Thailand,202006,Homo sapiens,Rodpan et al A,,,,
USA/TX-CDC-03050000-001/2020,2/12/20,,-0.02,,USA,Older,A,,North America,19B,MT106054,,Texas,202007,Homo sapiens,Queen et al A,,,,
HongKong/Ca-DelMut/2020,6/2/20,,-0.04,3,Hong Kong,Older,A,,Asia,19B,MT862537,,Hong Kong,202023,Homo sapiens,Wang et al A,,,,
AUS/VIC73/2020,3/15/20,,-0.12,,Australia,Older,A,,Oceania,19B,MT450985,,Victoria,202011,Homo sapiens,Seemann et al A,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
USA/GA-QDX-2420/2020,3/17/20,,-0.12,,USA,Older,A.3,,North America,19B,MW191130,,Georgia,202012,Homo sapiens,Rosenthal et al A,,Quest Diagnostics,Quest Diagnostics,
BEL/GHB-03021/2020,2/4/20,,-0.01,2,Belgium,Older,A,,Europe,19B,MW368439,,Belgium,202006,Homo sapiens,Baggen et al,,,,
