strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/WA1_vero_stock/2020	1/19/20		-0.06	202004	Older	A	USA	North America	Washington		Homo sapiens	OM301684	1	19B		Fox et al				
USA/WA-CDC-WA1-F6/2020	1/25/20		-0.06	202004	Older	A	USA	North America	Washington		Homo sapiens	MT020881		19B		Harcourt et al				
USA/TG701135/2020	3/30/20		-0.08	202014	3-7 days ago	A.1	USA	North America	Arizona		Homo sapiens	ON415527		19B		Bowers et al A				
USA/CO-QDX-2403/2020	3/16/20		-0.13	202012	Older	A.1	USA	North America	Colorado		Homo sapiens	MW191126		19B		Rosenthal et al A		Quest Diagnostics	Quest Diagnostics	
USA/NC-CDC-03068181-001/2020	3/6/20		-0.13	202010	Older	A.1	USA	North America	North Carolina		Homo sapiens	MT325591		19B		Li et al B				
USA/WI-UW-129/2020	4/6/20		-0.04	202015	Older	A.4	USA	North America	Wisconsin		Homo sapiens	MT706257		19B		Moreno et al B		UW-Madison	UWHC	
USA/NE-CDC-03067304-001/2020	3/5/20		-0.08	202010	Older	B.3	USA	North America	Nebraska		Homo sapiens	MT325592		19A		Li et al C				
USA/WV-QDX-1284/2020	3/17/20		-0.01	202012	Older	B	USA	North America	West Virginia		Homo sapiens	MW065351		19A		Rosenthal et al B		Quest Diagnostics	Quest Diagnostics	
GUM/GU-NHG-02/2020	3/24/20		-0.06	202013	Older	B.6	USA	North America	Guam		Homo sapiens	MT459986		19A		Voegtly et al A				
USA/OR-CDC-03066372-001/2020	3/1/20		-0.1	202010	Older	B	USA	North America	Oregon		Homo sapiens	MT304487		19A		Queen et al A				
USA/NH-QDX-618/2020	3/18/20		0.02	202012	Older	B.1.1	USA	North America	New Hampshire		Homo sapiens	MW064687	1	20B		Rosenthal et al C		Quest Diagnostics	Quest Diagnostics	
USA/GA-CDC-03063103-001/2020	2/29/20		0.02	202009	Older	B.1.1.61	USA	North America	Georgia		Homo sapiens	MT276327	1	20B		Tao et al A				
USA/JEHX/2020	11/4/20		0.03	202045	Older	B.1.1.337	USA	North America	Alabama		Homo sapiens	MW923422	1	20B		Grimwood et al A				
USA/MD-MDH-0232/2020	9/28/20		0.07	202040	Older	B.1.1.207	USA	North America	Maryland		Homo sapiens	MW157249	3	20B		Keller et al A				
USA/NC-SLPH-0033/2020	10/5/20		0.02	202041	Older	B.1.1.139	USA	North America	North Carolina		Homo sapiens	MW646425	2	20B		Chase et al A				
USA/CT-CDC-QDX25704330/2021	6/7/21		0.51	202123	Older	C.37	USA	North America	Connecticut		Homo sapiens	MZ432922	7	21G (Lambda)		Howard et al A		CDC-OAMD	Quest Diagnostics Incorporated	
